Регион России,Площадь км²,Население,"Средне-душевой доход,  рублей  в месяц ","Медиана (Ме),рублей  в месяц  ","Мода(Мо),рублей   в месяц ",Прожиточный минимум рублей в  месяц,"Прожмин. к ср.дох., %"
Алтайский край,167996,2365680,"21007,8","16572,4","10313,3",8798,"41,9"
Амурская область,361913,801752,"29703,9","22952,9","13705,2",10740,"36,2"
Архангельская обл. с НАО,589913,1165750,"32407,7","25815,8","16381,8",13169,"40,6"
Астраханская область,49024,1018866,"24014,2","18445,4","10882,5",8452,"35,2"
Белгородская область,27134,1552865,"27907,1","21600,1",12940,8134,"29,1"
Брянская область,34857,1220530,"25082,5","19488,7","11765,5",8843,"35,3"
Владимирская область,29084,1389599,"23079,8","18581,1","12043,5",9344,"40,5"
Волгоградская область,112877,2535202,"22000,4",17761,"11575,6",8889,"40,4"
Вологодская область,144527,1183860,"25667,5","20538,8","13150,9",10010,39
Воронежская область,52216,2335408,"30141,1","22534,2","12595,3",8174,"27,1"
Город Москва,2511,12380664,59567,"43043,2","22475,1",14749,"24,8"
Город Cанкт-Петербург,1439,5281579,"39844,7","29503,9","16176,9",9995,"25,1"
Еврейская авт. область,36266,164217,"24118,1","19475,7","12699,8",12476,"51,7"
Забайкальский край,431892,1078983,23026,"18135,7","11250,4",10230,"44,4"
Ивановская область,21437,1023170,"22494,1","18177,4","11870,2",9462,"42,1"
Иркутская область,774846,2408901,"22203,3","17519,1","10906,9",9935,"44,7"
Кабардино-Балкарская Республика,12470,864454,18766,"15004,2","9591,8",8784,"46,8"
Калининградская область,15125,986261,"25042,8","19865,4","12500,4",9664,"38,6"
Калужская область,29777,1014570,"26695,1","21109,7","13200,2",9223,"34,5"
Камчатский край,464275,314729,"39494,1","31869,2","20751,4",18020,"45,6"
Карачаево-Черкесская Республика,14277,466432,"17913,2","14411,1","9327,2",8667,"48,4"
Кемеровская область,95725,2708844,"21552,9","17155,1","10868,4",8814,"40,9"
Кировская область,120374,1291684,"22421,7","18147,3","11887,6",9210,"41,1"
Костромская область,60211,648157,"22385,1","18141,2","11914,6",9083,"40,6"
Краснодарский край,75485,5570945,"31375,9","23342,7","12919,9",9349,"29,8"
Красноярский край,2366797,2875301,"26853,7","20513,8",11971,10799,"40,2"
Курганская область,71488,854109,"20140,2","16007,8","10112,8",9032,"44,8"
Курская область,29997,1122893,"25780,7","20185,7",12375,8312,"32,2"
Ленинградская область,83908,1791916,"26231,3","20594,5","12694,4",8453,"32,2"
Липецкая область,24047,1156221,"27629,6","21411,3","12858,2",8261,"29,9"
Магаданская область,462464,145570,"48734,2","37763,4","22674,9",17311,"35,5"
Московская область,44379,7423470,"38395,9","29367,6","17180,5",10795,"28,1"
Мурманская область,144902,757621,"35952,3","28801,1","18483,1",13722,"38,2"
Ненецкий АО,176810,43937,"71072,1",51988,27817,18577,"26,1"
Нижегородская область,76624,3247713,"30849,6","23352,8","13381,9",8822,"28,6"
Новгородская область,54501,612522,"25641,8","20051,7","12261,8",9499,37
Новосибирская область,177756,2779555,"23793,5",18950,"12020,1",10425,"43,8"
Омская область,141140,1972682,"25770,8","19379,8","10959,5",8544,"33,2"
Оренбургская область,123702,1989589,"23205,1","18109,3",11029,8348,36
Орловская область,24652,754816,"22818,9","18179,9","11539,4",8764,"38,4"
Пензенская область,43352,1341526,"21103,5","16580,1","10234,2",8096,"38,4"
Пермский край,160236,2632097,"32692,2","23883,5","12746,9",9510,"29,1"
Приморский край,164673,1923116,"34080,7","26380,3",15806,12490,"36,6"
Псковская область,55399,642164,"21178,4","17484,9","11918,1",10266,"48,5"
Республика Адыгея,7792,453366,"22415,3",17684,"11006,5",8375,"37,4"
Республика Алтай,92903,217007,18179,"14768,7","9747,4",9435,"51,9"
Республика Башкортостан,142947,4066972,"27814,5","20726,5","11508,9",8623,31
Республика Бурятия,351334,984134,"25344,7","19050,7","10763,6",9506,"37,5"
Республика Дагестан,50270,3041900,"26808,9","20853,8","12618,2",8708,"32,5"
Республика Ингушетия,3628,480474,"13336,8","11027,2","7538,7",8704,"65,3"
Республика Калмыкия,74731,277803,"14233,9","11362,3","7240,3",8546,60
Республика Карелия,180520,627083,"25712,6","21254,6","14523,4",11671,"45,4"
Республика Коми,416774,850554,"33312,6","25160,8","14353,4",11443,"34,4"
