Округа и области,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Российская Федерация,2223,3240,4360,5499,6740,8555,10634,13593,17290,18638,20952,23369,26629,29792,32495,34030,36709
Центральный федеральный округ ,2173,3266,4433,5873,7276,9622,12117,15877,20666,22405,25377,28449,32186,36213,39945,41961,45943
Белгородская область  ,1717,2505,3493,4469,5284,6775,8337,10480,13509,14061,15938,17668,20002,22221,23895,25456,27091
Брянская область,1213,1817,2613,3316,4196,5235,6534,8190,10220,10951,12326,13912,16530,18974,20911,21679,22923
Владимирская область,1573,2292,3166,4025,4751,6067,7435,9688,12126,13131,14484,16314,18343,20927,22581,23877,25135
Воронежская область,1376,1912,2580,3549,4341,5382,6750,8731,11490,12786,14337,16055,19538,21825,24001,24906,26335
Ивановская область,1184,1764,2595,3255,4079,5144,6363,8172,10209,11488,13123,14436,16998,18982,20592,21161,22144
Калужская область,1664,2486,3457,4489,5643,7066,8593,10927,14085,15411,17682,20001,23710,25757,28248,29939,31667
Костромская область ,1508,2191,3068,3869,4723,5975,7326,9058,11457,12447,13526,14891,16896,19157,20867,21796,22989
Курская область,1454,2011,2866,3974,4889,5476,6925,8857,11437,12488,14007,16241,18690,21234,23099,23921,25327
Липецкая область,1881,2638,3389,4395,5485,6929,8634,10907,13372,13871,15430,17010,19417,21391,23133,24524,26214
Московская область,2269,3450,4803,6071,7399,9558,12263,16235,21503,23342,25417,28586,32303,35690,38598,40643,42656
Орловская область,1535,2246,3029,3564,4393,5431,6774,8611,11152,11854,13174,14529,16888,19273,20885,21772,23127
Рязанская область,1462,2189,3095,4028,4965,6150,7677,9797,12686,13440,15289,16718,19098,21797,24280,25482,27261
Смоленская область,1656,2384,3323,4173,5012,6191,7475,9552,12051,13032,14513,16189,17942,20447,22279,23470,25097
Тамбовская область ,1235,1761,2555,3304,4081,5009,6276,7903,10296,11606,12624,14293,16866,19056,20757,21725,22795
Тверская область,1575,2343,3307,4268,5386,6486,8040,10177,13065,14161,16155,17747,20246,22450,23866,24804,26193
Тульская область,1655,2409,3271,4206,5172,6412,7851,10137,12994,14338,15641,17225,20121,23030,25873,27555,29402
Ярославская область   ,1906,2831,3890,4952,6164,7366,8995,11215,13803,14418,16076,18111,20397,23003,25434,26748,28520
г. Москва,3229,4924,6388,8612,10634,14425,17998,23623,30552,33358,38411,44899,48830,55485,61208,64310,71379
Северо-Западный федеральный округ ,2532,3655,5068,6144,7518,9487,11851,15256,19396,20893,23532,25776,29058,32549,35468,37931,41076
Республика Карелия,2559,3413,4653,5692,6935,8730,10697,13342,16893,18394,20056,22174,24796,27503,29371,30704,33061
Республика Коми,3559,5178,6506,7884,9482,11612,14082,17077,20827,23686,26140,28897,33971,37717,40222,41365,43662
Архангельская область,2621,3701,4972,6243,7888,9874,11725,14400,18181,20243,22192,24611,28531,32465,35572,38300,40790
в том числе Ненецкий авт.округ,5066,9226,12627,15918,19025,23017,28592,34381,41181,43965,47349,50036,57795,61765,65816,71230,71850
Архангельская область без авт. округа,,,,,,,,,,18599,20475,22882,26374,30205,33125,35592,38118
Вологодская область,2562,3511,4497,5498,6971,8828,10667,12914,16115,16566,18536,20250,22649,25127,26749,27445,29303
Калининградская область,1750,2582,3703,4743,5560,6781,9720,12750,15420,16048,18455,19911,21526,25104,26639,28262,29451
Ленинградская область,2179,3258,4528,5466,6673,8596,10215,13155,17519,18360,20768,23303,26310,29358,31851,33996,36319
Мурманская область,3747,5387,7223,8646,10177,12510,15162,18581,23763,26592,29308,32342,36188,40225,43378,45989,48986
Новгородская область,1743,2475,3443,4393,5503,6941,8908,11005,13685,14795,16751,18637,21297,23494,25225,26346,27914
Псковская область,1471,2070,2920,3762,4543,5735,6973,8951,11381,12631,14498,15721,18203,19743,21004,21553,22399
г.Санкт-Петербург,2512,3695,5435,6468,7931,10134,13033,17552,22473,23884,27190,29522,32930,36848,40697,44187,48703
Южный федеральный округ  ,1587,2331,3184,3947,4968,6204,7736,9875,12514,14066,15560,17237,19823,22497,24311,25471 1),26964
Республика Адыгея,1303,1832,2613,3318,4266,5123,6414,8056,10097,11548,12787,14345,16715,19276,20945,22087,23109
Республика Калмыкия,1220,1759,2534,2961,3606,4495,5562,7101,9083,10849,11601,12559,15041,17471,19341,20109,21318
Республика Крым,,,,,,,,,,,,,,,…,22440,24140
Краснодарский край,1698,2495,3365,4033,5155,6462,7976,10260,13163,14953,16330,18416,21409,24063,25777,26767,28734
Астраханская область,1899,2661,3530,4432,5495,6884,8158,9867,12340,14096,16582,17023,19522,22736,24576,25499,27493
Волгоградская область,1690,2393,3133,3989,4885,6160,7747,9770,12002,13257,14856,16192,18584,21046,22828,24361,26554
Ростовская область,1361,2092,3002,3806,4798,5945,7569,9780,12539,13883,15244,16950,19189,21867,23818,25008,26689
г. Севастополь,,,,,,,,,,,,,,,…,21848,24259
Северо-Кавказский федеральный округ,1213,1721,2442,3108,3845,4785,5950,7735,9862,11432,12569,13898,16725,19359,20930,21720,22963
Республика Дагестан,879,1172,1834,2409,3000,3660,4530,5696,7595,9125,10244,11236,13660,16835,18194,19239,20629
